user_id,assignment_group,listener_cohort,new_artists_exposed,artist_follows,saves,playlist_adds,avg_recommendation_diversity,artist_follow_conversion_rate,discovery_quality_index
u_00001,control_standard_recs,discovery_seeker,49,6,48,11,0.08692857142857144,0.12244897959183673,0.343
u_00002,treatment_ai_dj,casual_listener,40,6,36,16,0.2567272727272727,0.15,0.402
u_00003,treatment_ai_dj,discovery_seeker,75,7,56,14,0.6378666666666667,0.09333333333333334,0.407
u_00004,treatment_ai_dj,discovery_seeker,48,7,48,17,0.3255217391304348,0.14583333333333334,0.436
u_00005,control_standard_recs,heavy_playlist_user,88,8,58,21,0.5913191489361702,0.09090909090909091,0.38
u_00006,control_standard_recs,genre_loyalist,42,3,20,6,0.639375,0.07142857142857142,0.325
u_00007,control_standard_recs,discovery_seeker,61,1,21,5,0.58040625,0.01639344262295082,0.249
u_00008,treatment_ai_dj,casual_listener,56,9,53,21,0.2434074074074074,0.16071428571428573,0.41
u_00009,treatment_ai_dj,mood_context_listener,63,5,37,18,0.33244,0.07936507936507936,0.301
u_00010,treatment_ai_dj,discovery_seeker,91,16,63,38,0.9038421052631578,0.17582417582417584,0.523
u_00011,control_standard_recs,heavy_playlist_user,27,2,17,7,0.8070689655172414,0.07407407407407407,0.424
u_00012,treatment_ai_dj,casual_listener,46,3,32,15,0.882,0.06521739130434782,0.466
u_00013,treatment_ai_dj,genre_loyalist,71,6,35,13,0.7396666666666666,0.08450704225352113,0.365
u_00014,control_standard_recs,casual_listener,33,0,16,4,0.8098000000000001,0.0,0.342
u_00015,control_standard_recs,genre_loyalist,74,10,60,20,0.17670967741935484,0.13513513513513514,0.335
u_00016,control_standard_recs,mood_context_listener,43,1,25,9,0.29144,0.023255813953488372,0.258
u_00017,control_standard_recs,discovery_seeker,67,4,29,10,0.5521,0.05970149253731343,0.29
u_00018,treatment_ai_dj,casual_listener,42,3,12,10,0.3797894736842105,0.07142857142857142,0.227
u_00019,control_standard_recs,casual_listener,47,7,33,9,0.46847619047619043,0.14893617021276595,0.374
u_00020,control_standard_recs,discovery_seeker,52,5,43,10,0.3427027027027027,0.09615384615384616,0.355
u_00021,treatment_ai_dj,casual_listener,43,9,26,7,0.8176666666666667,0.20930232558139536,0.453
u_00022,control_standard_recs,casual_listener,39,2,9,5,0.43199999999999994,0.05128205128205128,0.203
u_00023,control_standard_recs,heavy_playlist_user,93,6,56,24,0.33782,0.06451612903225806,0.296
u_00024,control_standard_recs,discovery_seeker,50,1,26,13,0.8686875000000001,0.02,0.393
u_00025,control_standard_recs,discovery_seeker,53,2,23,9,0.2235,0.03773584905660377,0.203
u_00026,treatment_ai_dj,mood_context_listener,85,7,45,16,0.5261388888888888,0.08235294117647059,0.321
u_00027,control_standard_recs,casual_listener,37,2,11,5,0.6935,0.05405405405405406,0.287
u_00028,treatment_ai_dj,mood_context_listener,81,7,45,13,0.2719285714285714,0.08641975308641975,0.261
u_00029,treatment_ai_dj,discovery_seeker,90,9,59,13,0.5175405405405406,0.1,0.35
u_00030,control_standard_recs,mood_context_listener,47,4,29,9,0.2072,0.0851063829787234,0.265
u_00031,treatment_ai_dj,genre_loyalist,48,5,37,10,0.650047619047619,0.10416666666666667,0.423
u_00032,control_standard_recs,heavy_playlist_user,56,0,11,5,0.7092352941176471,0.0,0.24
u_00033,control_standard_recs,mood_context_listener,43,2,21,7,0.34696,0.046511627906976744,0.25
u_00034,treatment_ai_dj,discovery_seeker,48,3,39,17,0.4481538461538462,0.0625,0.39
u_00035,treatment_ai_dj,mood_context_listener,110,18,99,41,0.7497631578947368,0.16363636363636364,0.526
u_00036,treatment_ai_dj,discovery_seeker,66,2,35,17,0.4105714285714286,0.030303030303030304,0.284
u_00037,control_standard_recs,discovery_seeker,63,4,31,9,0.24388888888888888,0.06349206349206349,0.228
u_00038,control_standard_recs,discovery_seeker,20,3,25,10,0.6148823529411764,0.15,0.531
u_00039,treatment_ai_dj,genre_loyalist,96,5,23,11,0.5493793103448276,0.052083333333333336,0.233
u_00040,control_standard_recs,casual_listener,60,6,29,11,0.3856363636363636,0.1,0.28
u_00041,control_standard_recs,genre_loyalist,86,7,31,9,0.6479428571428572,0.08139534883720931,0.296
u_00042,control_standard_recs,genre_loyalist,41,1,24,9,0.5551428571428572,0.024390243902439025,0.327
u_00043,control_standard_recs,heavy_playlist_user,90,4,37,15,0.5355625,0.044444444444444446,0.277
u_00044,treatment_ai_dj,heavy_playlist_user,56,4,36,14,0.6982758620689655,0.07142857142857142,0.398
u_00045,control_standard_recs,discovery_seeker,47,4,50,20,0.4285357142857143,0.0851063829787234,0.451
u_00046,treatment_ai_dj,discovery_seeker,76,12,61,22,0.5507857142857143,0.15789473684210525,0.437
u_00047,control_standard_recs,discovery_seeker,39,0,21,14,0.4520434782608696,0.0,0.301
u_00048,treatment_ai_dj,casual_listener,48,5,34,16,0.4663684210526316,0.10416666666666667,0.38
u_00049,treatment_ai_dj,casual_listener,50,2,14,3,0.465,0.04,0.209
u_00050,control_standard_recs,discovery_seeker,62,4,28,13,0.6510666666666667,0.06451612903225806,0.33
u_00051,treatment_ai_dj,discovery_seeker,37,6,50,17,0.5016818181818182,0.16216216216216217,0.501
u_00052,treatment_ai_dj,mood_context_listener,94,4,43,16,0.25575,0.0425531914893617,0.219
u_00053,treatment_ai_dj,genre_loyalist,62,9,57,11,0.18513793103448276,0.14516129032258066,0.354
u_00054,treatment_ai_dj,discovery_seeker,103,11,81,23,0.256,0.10679611650485436,0.331
u_00055,treatment_ai_dj,genre_loyalist,87,10,68,33,0.23551612903225808,0.11494252873563218,0.351
u_00056,treatment_ai_dj,casual_listener,44,6,17,9,0.8371764705882353,0.13636363636363635,0.384
u_00057,control_standard_recs,discovery_seeker,44,0,15,5,0.5867083333333333,0.0,0.249
u_00058,control_standard_recs,genre_loyalist,42,3,16,6,0.4218695652173913,0.07142857142857142,0.247
u_00059,control_standard_recs,genre_loyalist,26,3,21,10,0.8602941176470589,0.11538461538461539,0.515
u_00060,control_standard_recs,discovery_seeker,58,3,11,3,0.6627241379310346,0.05172413793103448,0.239
u_00061,control_standard_recs,mood_context_listener,56,1,11,1,0.2446470588235294,0.017857142857142856,0.119
u_00062,control_standard_recs,mood_context_listener,76,6,42,12,0.22188235294117648,0.07894736842105263,0.245
u_00063,treatment_ai_dj,genre_loyalist,68,7,41,15,0.42565714285714285,0.10294117647058823,0.326
u_00064,control_standard_recs,genre_loyalist,30,4,26,9,0.4142,0.13333333333333333,0.412
u_00065,control_standard_recs,genre_loyalist,49,4,25,7,0.5177826086956522,0.08163265306122448,0.307
u_00066,treatment_ai_dj,casual_listener,43,2,26,7,0.7323478260869566,0.046511627906976744,0.375
u_00067,control_standard_recs,discovery_seeker,54,0,14,7,0.4857142857142857,0.0,0.206
u_00068,treatment_ai_dj,casual_listener,54,8,45,24,0.9651153846153846,0.14814814814814814,0.568
u_00069,control_standard_recs,genre_loyalist,53,3,19,5,0.6192333333333334,0.05660377358490566,0.278
u_00070,treatment_ai_dj,genre_loyalist,73,5,43,17,0.6282368421052632,0.0684931506849315,0.363
u_00071,treatment_ai_dj,casual_listener,41,5,27,19,0.5042631578947369,0.12195121951219512,0.403
u_00072,control_standard_recs,mood_context_listener,89,2,28,14,0.7456153846153847,0.02247191011235955,0.297
u_00073,control_standard_recs,mood_context_listener,55,5,25,13,0.545741935483871,0.09090909090909091,0.317
u_00074,treatment_ai_dj,heavy_playlist_user,56,10,55,15,0.34955555555555556,0.17857142857142858,0.436
u_00075,treatment_ai_dj,genre_loyalist,90,5,60,35,0.5216176470588235,0.05555555555555555,0.375
u_00076,treatment_ai_dj,mood_context_listener,69,9,46,24,0.624,0.13043478260869565,0.42
u_00077,treatment_ai_dj,casual_listener,36,4,43,19,0.3739411764705882,0.1111111111111111,0.462
u_00078,control_standard_recs,heavy_playlist_user,56,1,13,6,0.32093548387096776,0.017857142857142856,0.161
u_00079,control_standard_recs,casual_listener,54,2,26,9,0.4727142857142857,0.037037037037037035,0.277
u_00080,control_standard_recs,heavy_playlist_user,70,2,36,19,0.5139111111111111,0.02857142857142857,0.308
u_00081,treatment_ai_dj,discovery_seeker,57,8,60,23,0.6220869565217392,0.14035087719298245,0.515
u_00082,treatment_ai_dj,mood_context_listener,62,9,48,22,0.7651,0.14516129032258066,0.489
u_00083,control_standard_recs,mood_context_listener,63,2,27,7,0.4862592592592592,0.031746031746031744,0.256
u_00084,control_standard_recs,casual_listener,41,2,26,5,0.4723636363636363,0.04878048780487805,0.312
u_00085,control_standard_recs,genre_loyalist,45,7,38,16,0.56268,0.15555555555555556,0.46
u_00086,control_standard_recs,mood_context_listener,75,7,48,20,0.3069285714285714,0.09333333333333334,0.309
u_00087,treatment_ai_dj,genre_loyalist,66,4,31,9,0.2635,0.06060606060606061,0.225
u_00088,treatment_ai_dj,mood_context_listener,61,6,44,16,0.43048387096774193,0.09836065573770492,0.362
u_00089,treatment_ai_dj,genre_loyalist,57,7,47,14,0.447423076923077,0.12280701754385964,0.398
u_00090,control_standard_recs,discovery_seeker,55,1,34,18,0.45366666666666666,0.01818181818181818,0.323
u_00091,control_standard_recs,discovery_seeker,39,7,40,10,0.40804545454545454,0.1794871794871795,0.453
u_00092,treatment_ai_dj,casual_listener,68,5,16,7,0.576551724137931,0.07352941176470588,0.244
u_00093,treatment_ai_dj,heavy_playlist_user,110,5,73,25,0.5539615384615385,0.045454545454545456,0.354
u_00094,treatment_ai_dj,discovery_seeker,71,4,51,13,0.4006551724137931,0.056338028169014086,0.327
u_00095,treatment_ai_dj,genre_loyalist,50,3,37,6,0.25351724137931037,0.06,0.287
u_00096,control_standard_recs,genre_loyalist,51,2,22,9,0.14453571428571427,0.0392156862745098,0.184
u_00097,treatment_ai_dj,genre_loyalist,52,6,36,16,0.265,0.11538461538461539,0.326
u_00098,control_standard_recs,mood_context_listener,35,2,7,2,0.3171428571428571,0.05714285714285714,0.158
u_00099,control_standard_recs,mood_context_listener,37,0,12,3,0.28915,0.0,0.166
u_00100,control_standard_recs,discovery_seeker,42,2,21,10,0.43851724137931036,0.047619047619047616,0.287
u_00101,control_standard_recs,heavy_playlist_user,58,6,48,11,0.237775,0.10344827586206896,0.331
u_00102,treatment_ai_dj,heavy_playlist_user,130,4,66,30,0.3887169811320755,0.03076923076923077,0.269
u_00103,control_standard_recs,genre_loyalist,34,2,15,6,0.19728,0.058823529411764705,0.207
u_00104,treatment_ai_dj,mood_context_listener,107,11,85,35,0.24062857142857144,0.102803738317757,0.344
u_00105,treatment_ai_dj,casual_listener,56,6,47,25,0.6274799999999999,0.10714285714285714,0.471
u_00106,control_standard_recs,casual_listener,14,1,19,9,0.6211428571428571,0.07142857142857142,0.527
u_00107,control_standard_recs,mood_context_listener,60,4,23,7,0.23215384615384618,0.06666666666666667,0.195
u_00108,treatment_ai_dj,discovery_seeker,59,8,57,17,0.3887307692307692,0.13559322033898305,0.429
u_00109,control_standard_recs,mood_context_listener,67,3,34,15,0.4798666666666666,0.04477611940298507,0.296
u_00110,control_standard_recs,mood_context_listener,48,3,17,7,0.8336333333333333,0.0625,0.341
u_00111,control_standard_recs,casual_listener,31,3,12,7,0.41933333333333334,0.0967741935483871,0.269
u_00112,control_standard_recs,mood_context_listener,37,1,25,2,0.229625,0.02702702702702703,0.244
u_00113,treatment_ai_dj,discovery_seeker,97,15,76,36,0.7650243902439025,0.15463917525773196,0.497
u_00114,treatment_ai_dj,genre_loyalist,78,6,47,20,0.20441176470588235,0.07692307692307693,0.267
u_00115,treatment_ai_dj,genre_loyalist,67,7,49,18,0.48338461538461536,0.1044776119402985,0.381
u_00116,treatment_ai_dj,mood_context_listener,68,10,63,20,0.843,0.14705882352941177,0.538
u_00117,treatment_ai_dj,casual_listener,70,6,62,20,0.2291153846153846,0.08571428571428572,0.352
u_00118,control_standard_recs,genre_loyalist,41,4,15,5,0.39508695652173914,0.0975609756097561,0.243
u_00119,treatment_ai_dj,heavy_playlist_user,113,11,80,28,0.46242222222222223,0.09734513274336283,0.364
u_00120,treatment_ai_dj,heavy_playlist_user,110,14,85,24,0.9664186046511627,0.12727272727272726,0.512
u_00121,treatment_ai_dj,heavy_playlist_user,117,16,77,38,0.647843137254902,0.13675213675213677,0.423
u_00122,treatment_ai_dj,casual_listener,57,3,21,12,0.7555217391304347,0.05263157894736842,0.331
u_00123,control_standard_recs,discovery_seeker,73,3,40,12,0.5957555555555556,0.0410958904109589,0.325
u_00124,control_standard_recs,discovery_seeker,48,7,40,14,0.6716333333333334,0.14583333333333334,0.471
u_00125,control_standard_recs,heavy_playlist_user,67,3,31,11,0.39838709677419354,0.04477611940298507,0.256
u_00126,control_standard_recs,discovery_seeker,51,5,35,8,0.6540714285714285,0.09803921568627451,0.393
u_00127,treatment_ai_dj,casual_listener,46,3,30,19,0.275,0.06521739130434782,0.317
u_00128,treatment_ai_dj,mood_context_listener,69,6,43,17,0.12829032258064516,0.08695652173913043,0.255
u_00129,control_standard_recs,casual_listener,31,2,9,2,0.9381052631578948,0.06451612903225806,0.339
u_00130,treatment_ai_dj,mood_context_listener,74,4,48,17,0.8446590909090909,0.05405405405405406,0.427
u_00131,control_standard_recs,heavy_playlist_user,51,2,37,17,0.7987428571428571,0.0392156862745098,0.445
u_00132,control_standard_recs,heavy_playlist_user,56,0,20,10,0.6029696969696969,0.0,0.267
u_00133,control_standard_recs,discovery_seeker,33,4,25,10,0.8997857142857143,0.12121212121212122,0.502
u_00134,control_standard_recs,casual_listener,37,4,30,4,0.5084285714285715,0.10810810810810811,0.384
u_00135,treatment_ai_dj,heavy_playlist_user,112,10,99,26,0.9536818181818183,0.08928571428571429,0.525
u_00136,control_standard_recs,heavy_playlist_user,65,5,36,13,0.6659999999999999,0.07692307692307693,0.362
u_00137,treatment_ai_dj,heavy_playlist_user,105,7,68,28,0.7701463414634147,0.06666666666666667,0.418
u_00138,treatment_ai_dj,casual_listener,51,7,56,13,0.5281071428571429,0.13725490196078433,0.468
u_00139,control_standard_recs,heavy_playlist_user,71,4,34,10,0.6974473684210526,0.056338028169014086,0.335
u_00140,treatment_ai_dj,heavy_playlist_user,65,3,36,14,0.2834864864864865,0.046153846153846156,0.258
u_00141,treatment_ai_dj,genre_loyalist,41,9,32,18,0.7456666666666667,0.21951219512195122,0.524
u_00142,control_standard_recs,heavy_playlist_user,62,4,39,18,0.6238285714285714,0.06451612903225806,0.379
u_00143,control_standard_recs,mood_context_listener,42,4,26,11,0.8046800000000001,0.09523809523809523,0.429
u_00144,control_standard_recs,genre_loyalist,32,2,25,2,0.7306842105263158,0.0625,0.409
u_00145,control_standard_recs,casual_listener,41,5,33,6,0.5421,0.12195121951219512,0.401
u_00146,control_standard_recs,genre_loyalist,45,1,13,2,0.6629565217391304,0.022222222222222223,0.252
u_00147,treatment_ai_dj,casual_listener,54,3,27,9,0.5017241379310345,0.05555555555555555,0.295
u_00148,treatment_ai_dj,discovery_seeker,48,2,15,4,0.37253846153846154,0.041666666666666664,0.198
u_00149,control_standard_recs,discovery_seeker,61,8,41,15,0.41402941176470587,0.13114754098360656,0.354
u_00150,control_standard_recs,casual_listener,47,3,39,11,0.29295652173913045,0.06382978723404255,0.338
u_00151,treatment_ai_dj,discovery_seeker,95,18,97,30,0.53685,0.18947368421052632,0.498
u_00152,control_standard_recs,casual_listener,31,1,10,5,0.6147857142857143,0.03225806451612903,0.27
u_00153,control_standard_recs,heavy_playlist_user,68,3,32,12,0.1506764705882353,0.04411764705882353,0.197
u_00154,control_standard_recs,mood_context_listener,33,3,14,7,0.6619047619047619,0.09090909090909091,0.335
u_00155,treatment_ai_dj,casual_listener,38,2,21,13,0.4125,0.05263157894736842,0.311
u_00156,control_standard_recs,mood_context_listener,53,2,5,6,0.6318275862068966,0.03773584905660377,0.212
u_00157,treatment_ai_dj,genre_loyalist,73,8,72,42,0.52696,0.1095890410958904,0.503
u_00158,treatment_ai_dj,discovery_seeker,48,5,51,17,0.584875,0.10416666666666667,0.486
u_00159,control_standard_recs,casual_listener,40,4,13,8,0.08652941176470587,0.1,0.168
u_00160,treatment_ai_dj,genre_loyalist,84,10,70,26,0.4748333333333334,0.11904761904761904,0.415
u_00161,control_standard_recs,heavy_playlist_user,83,9,55,15,0.5398048780487805,0.10843373493975904,0.366
u_00162,treatment_ai_dj,heavy_playlist_user,69,4,47,12,0.67540625,0.057971014492753624,0.386
u_00163,treatment_ai_dj,casual_listener,50,5,19,7,0.5361666666666667,0.1,0.285
u_00164,treatment_ai_dj,casual_listener,30,2,20,9,0.67325,0.06666666666666667,0.403
u_00165,control_standard_recs,discovery_seeker,41,5,32,9,0.09826666666666667,0.12195121951219512,0.295
u_00166,treatment_ai_dj,discovery_seeker,111,13,65,21,0.4491136363636363,0.11711711711711711,0.328
u_00167,control_standard_recs,casual_listener,49,6,22,11,0.8425,0.12244897959183673,0.399
u_00168,control_standard_recs,discovery_seeker,55,7,38,14,0.5276666666666667,0.12727272727272726,0.387
u_00169,control_standard_recs,heavy_playlist_user,64,3,31,10,0.3394375,0.046875,0.246
u_00170,treatment_ai_dj,mood_context_listener,55,6,43,27,0.5516666666666666,0.10909090909090909,0.445
u_00171,treatment_ai_dj,discovery_seeker,85,13,60,18,0.4597333333333333,0.15294117647058825,0.377
u_00172,control_standard_recs,mood_context_listener,85,6,37,14,0.6190789473684211,0.07058823529411765,0.313
u_00173,treatment_ai_dj,discovery_seeker,41,4,42,18,0.7175416666666666,0.0975609756097561,0.529
u_00174,control_standard_recs,genre_loyalist,21,1,12,4,0.545,0.047619047619047616,0.324
u_00175,treatment_ai_dj,casual_listener,30,2,20,5,0.6002307692307692,0.06666666666666667,0.365
u_00176,control_standard_recs,genre_loyalist,43,5,27,9,0.3599655172413793,0.11627906976744186,0.319
u_00177,treatment_ai_dj,mood_context_listener,56,6,37,10,0.4126969696969697,0.10714285714285714,0.333
u_00178,control_standard_recs,genre_loyalist,44,6,26,11,0.6048181818181818,0.13636363636363635,0.384
u_00179,treatment_ai_dj,discovery_seeker,56,3,22,9,0.28103703703703703,0.05357142857142857,0.211
u_00180,control_standard_recs,genre_loyalist,34,2,9,5,0.46485714285714286,0.058823529411764705,0.225
u_00181,control_standard_recs,casual_listener,37,0,36,10,0.65508,0.0,0.448
u_00182,control_standard_recs,mood_context_listener,44,1,24,8,0.88092,0.022727272727272728,0.392
u_00183,treatment_ai_dj,genre_loyalist,61,4,37,15,0.770846153846154,0.06557377049180328,0.404
u_00184,treatment_ai_dj,discovery_seeker,74,8,66,27,0.7824615384615385,0.10810810810810811,0.511
