user_id,assignment_group,listener_cohort,market,primary_device,baseline_session_min,baseline_discovery_index,baseline_genre_diversity_index,assignment_date
u_00001,control_standard_recs,discovery_seeker,US,mobile,52.3,0.407,0.057,2026-05-01
u_00002,treatment_ai_dj,casual_listener,US,mobile,46.0,0.243,0.195,2026-05-01
u_00003,treatment_ai_dj,discovery_seeker,AU,mobile,37.7,0.34,0.576,2026-05-01
u_00004,treatment_ai_dj,discovery_seeker,US,mobile,54.4,0.605,0.282,2026-05-01
u_00005,control_standard_recs,heavy_playlist_user,CA,car,46.0,0.426,0.568,2026-05-01
u_00006,control_standard_recs,genre_loyalist,US,mobile,28.1,0.405,0.638,2026-05-01
u_00007,control_standard_recs,discovery_seeker,US,mobile,25.5,0.29,0.58,2026-05-01
u_00008,treatment_ai_dj,casual_listener,IE,mobile,47.8,0.694,0.184,2026-05-01
u_00009,treatment_ai_dj,mood_context_listener,US,mobile,42.8,0.443,0.28,2026-05-01
u_00010,treatment_ai_dj,discovery_seeker,AU,speaker,40.0,0.542,0.852,2026-05-01
u_00011,control_standard_recs,heavy_playlist_user,US,mobile,27.8,0.134,0.81,2026-05-01
u_00012,treatment_ai_dj,casual_listener,AU,mobile,45.3,0.614,0.822,2026-05-01
u_00013,treatment_ai_dj,genre_loyalist,US,mobile,28.9,0.495,0.681,2026-05-01
u_00014,control_standard_recs,casual_listener,US,mobile,36.8,0.128,0.77,2026-05-01
u_00015,control_standard_recs,genre_loyalist,CA,mobile,55.4,0.585,0.16,2026-05-01
u_00016,control_standard_recs,mood_context_listener,AU,desktop,30.1,0.404,0.27,2026-05-01
u_00017,control_standard_recs,discovery_seeker,AU,mobile,19.1,0.467,0.535,2026-05-01
u_00018,treatment_ai_dj,casual_listener,CA,desktop,25.4,0.248,0.271,2026-05-01
u_00019,control_standard_recs,casual_listener,AU,car,49.9,0.458,0.434,2026-05-01
u_00020,control_standard_recs,discovery_seeker,US,car,41.1,0.082,0.348,2026-05-01
u_00021,treatment_ai_dj,casual_listener,US,car,36.5,0.175,0.772,2026-05-01
u_00022,control_standard_recs,casual_listener,US,mobile,31.9,0.735,0.397,2026-05-01
u_00023,control_standard_recs,heavy_playlist_user,US,mobile,43.8,0.332,0.321,2026-05-01
u_00024,control_standard_recs,discovery_seeker,US,mobile,27.8,0.306,0.85,2026-05-01
u_00025,control_standard_recs,discovery_seeker,US,speaker,41.7,0.519,0.227,2026-05-01
u_00026,treatment_ai_dj,mood_context_listener,US,car,29.2,0.506,0.451,2026-05-01
u_00027,control_standard_recs,casual_listener,UK,speaker,27.2,0.466,0.706,2026-05-01
u_00028,treatment_ai_dj,mood_context_listener,US,mobile,30.4,0.844,0.207,2026-05-01
u_00029,treatment_ai_dj,discovery_seeker,US,car,33.5,0.487,0.447,2026-05-01
u_00030,control_standard_recs,mood_context_listener,US,mobile,37.4,0.344,0.181,2026-05-01
u_00031,treatment_ai_dj,genre_loyalist,CA,mobile,40.8,0.081,0.611,2026-05-01
u_00032,control_standard_recs,heavy_playlist_user,CA,mobile,8.0,0.216,0.679,2026-05-01
u_00033,control_standard_recs,mood_context_listener,UK,mobile,28.3,0.429,0.305,2026-05-01
u_00034,treatment_ai_dj,discovery_seeker,US,mobile,33.3,0.112,0.392,2026-05-01
u_00035,treatment_ai_dj,mood_context_listener,US,mobile,56.1,0.524,0.662,2026-05-01
u_00036,treatment_ai_dj,discovery_seeker,US,mobile,25.0,0.132,0.334,2026-05-01
u_00037,control_standard_recs,discovery_seeker,US,desktop,40.0,0.344,0.226,2026-05-01
u_00038,control_standard_recs,discovery_seeker,US,speaker,55.9,0.454,0.607,2026-05-01
u_00039,treatment_ai_dj,genre_loyalist,US,desktop,22.2,0.787,0.48,2026-05-01
u_00040,control_standard_recs,casual_listener,US,mobile,42.7,0.917,0.354,2026-05-01
u_00041,control_standard_recs,genre_loyalist,IE,speaker,28.4,0.642,0.619,2026-05-01
u_00042,control_standard_recs,genre_loyalist,IE,car,31.9,0.292,0.531,2026-05-01
u_00043,control_standard_recs,heavy_playlist_user,US,mobile,28.4,0.504,0.515,2026-05-01
u_00044,treatment_ai_dj,heavy_playlist_user,US,mobile,29.2,0.285,0.641,2026-05-01
u_00045,control_standard_recs,discovery_seeker,US,mobile,70.7,0.307,0.419,2026-05-01
u_00046,treatment_ai_dj,discovery_seeker,US,mobile,48.1,0.336,0.488,2026-05-01
